book_id,title,author,publisher,year,call_number,isbn,image_url,description,category
10,찬란한 멸종,이정모 지음,다산북스,2024,476.7 이74ㅊ,9791130000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6694639%3Ftimestamp%3D20241115153546,"국내 최고의 과학 스토리텔러 ‘털보 관장’이 3년 만에 신작으로 돌아왔다. JTBC 〈차이나는 클라스〉, tvN 〈어쩌다 어른〉 등의 방송과 유튜브 채널에서 ‘지구의 역사’와 ‘인류 대멸종’을 주제로 강의해 누적 조회 수 1100만 회 이상을 기록하며 화제를 모았던 이정모 저자가 『찬란한 멸종』을 통해 멸종으로 보는 46억 년 지구의 역사를 본격적으로 스토리텔링한다. 이 책은 시간순으로 진행되는 흔한 빅 히스토리에서 벗어나 인류가 멸망한 2150년 인공지능이 들려주는 이야기로 시작한다. 화성 테라포밍을 실행한 2100년, 지구에 아직 빙하가 남은 2024년, 46억 년 전 지구가 탄생하기까지 거꾸로 거슬러 올라가며 방대한 역사를 생생한 도판과 함께 엮어낸다. 그뿐만 아니라 범고래, 네안데르탈인, 산호, 삼엽충 등 지구 생명체가 직접 자신의 이야기를 펼쳐내 그동안 인간이 지구를 바라봤던 모든 관점을 뒤집는다. ‘한국의 빌 브라이슨’답게 능청스럽게 이야기를 풀어내는 이정모 특유의 유머는 독자들을 시종일관 웃음 짓게 만든다. 그렇게 소설처럼 재미있게 읽다 보면 46억 년 지구의 역사가 단숨에 이해된다. 물리학자 김상욱 교수가 “이런 시의적절한 주제를, 이렇게 맛깔나게 쓸 수 있는 사람은 이정모뿐이다”라고 극찬하고, 과학 커뮤니케이터 궤도가 “극한의 상황을 극복한 우리의 찬란한 미래를 상상하게 만든다”라며 강력 추천한 이유다. 지구는 다섯 번이나 대멸종을 겪었지만 그때마다 더욱 경이롭게 진화했다. 독자들은 『찬란한 멸종』을 통해 다가올 미래를 두려워하기보다 흥미롭게 상상하는 경이로운 경험을 하게 될 것이다. 여섯 번째 대멸종을 지나는 지구인을 위한 새로운 교양서를 지금 바로 만나보자.","['과학', '지구과학', '지구']"
11,(내 몸 안의 숨겨진 비밀) 해부학,사카이 다츠오 지음; 윤혜림 옮김,전나무숲,2019,511.4 사872ㅎ윤,9791190000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5124778%3Ftimestamp%3D20250223122401,"● 어렵고 복잡한 해부학이라는 기존의 편견을 뒤집은 새로운 차원의 ‘흥미로운 해부학 입문서이자 대중서, 우리 몸속의 비밀로 안내하는 탐험 가이드이다. 해부학의 이론과 실제를 충실하게 전달하면서도 딱딱하고 형식적인 접근에서 벗어나 인체의 구조와 기능, 그 조화로움을 흥미진진하게 파악할 수 있도록 해준다. ● 기존의 해부학 이론서와는 기본적인 관점부터 달리하는 책이다. 이제껏 발간된 많은 해부학 서적은 인체에서 공통된 역할을 담당하는 ‘기관별’로 내용을 기술한 ‘계통해부학’ 체계이지만, 이 책은 기존의 형식에서 과감하게 벗어나 인체의 다양한 부분을 ‘부위별’로 내용을 기술한 ‘국소해부학’ 체계로 소개했다. 인체를 부위별로 정리한 이 책은 의학 교육기관에서 해부학이나 생리학을 배우는 학생들에게도 놀라움을 줄 것이다. ● 이 책의 가장 큰 장점은 인체의 구조에 대한 알기 쉬운 해설과 저자의 친절한 설명이다. 특히 인체에 대한 간결하면서도 섬세한 해부도는 이해의 폭을 깊고 넓게 하는데 큰 도움을 준다. 해부학에 대해 전문적으로 공부하는 사람 뿐만 아니라 청소년이나 대학생, 그리고 인체에 관심이 많은 일반인들도 얼마든지 손쉽게 집을 수 있고 편안하게 읽어나갈 수 있다.","['과학', '인체의 이해']"
12,보건의료통계학,정상진; 박일순 지음,보문각,2022,517.073 정52ㅂ,9788960000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6148745%3Ftimestamp%3D20241001155403,"보건의료통계 본연의 의미는 과거 자료를 근거로 불확실한 미래를 예측하고, 이를 바탕으로 미래의 보건의료 계획과 대책을 수립하는 데 있어 기초자료를 제공하는 것에 의의가 있다고 할 수 있다. 저자들도 기존의 여러 유형의 통계 실적의 표를 바탕으로 미래에 발생할 의료 예측 및 의료기관 경영정책 수립에 도움이 되고자 하였다.","['대학교재/전문서적', '의약학간호계열', '사회의학', '의학 통계학']"
13,패널데이터와 복합표본을 활용한 한번에 적용하는 의학보건통계,히든 그레이스 데이터분석팀 지음,한빛아카데미,2023,517.073 히27ㅍ,9791160000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6420738%3Ftimestamp%3D20250227154431,"저자진은 데이터를 분석하고 연구 보고서와 논문을 작성하는 연구자, 현업 담당자, 의료보건업계 종사자들이 보다 빠르고 효율적으로 연구를 진행할 수 있도록 수년간 연구자가 이해하기 쉬운 데이터 분석 강의와 기업에 필요한 분석 및 의학통계 분석을 진행해 왔다. 이 책은 의학 연구자와 의료보건업계 종사자를 대상으로 진행한 현장 컨설팅 및 강의 경험을 토대로 엮은 것이다.","['대학교재/전문서적', '의약학간호계열', '사회의학', '의학 통계학']"
14,일반화학실험,권찬호 [외] 지음,자유아카데미,2022,432 권82ㅇ,9791160000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6015244%3Ftimestamp%3D20250321161242,"이 교재에서 각 실험 부분은 실험을 통해 파악하여야 할 기본 개념 및 간단한 이론적 배경, 구체적인 실험 방법과 준비물, 그리고 실험 결과의 보고서로 구성되어 있다. 이론적 설명은 단원 안에서 충분히 이해될 수 있도록 기술하였으며, [대학화학 제5판[의 전문 지식 내용과 연결하여 심화된 내용도 공부할 수 있도록 구성하였다.","['대학교재/전문서적', '자연과학계열', '화학']"
15,삶은 그렇게 납작하지 않아요,김나리 지음,ㅊㄴㅁ(책나물),2024,818 김192ㅅ,9791190000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6548817%3Ftimestamp%3D20240621155034,"여기, 한 여자가 있다. 그는 들쑥날쑥한 유년시절을 보내며 열 곳의 학교를 옮겨 다녔다. 결혼식에선 드레스를 입고 싶지 않았기에 턱시도를 입었다. 느린 영화를 편집하는 사람이었다가 가장 빠른 방송 매체를 만들기도 했다. 수많은 나라와 도시를 여행하며 살았지만, 가장 오래 지낸 도시 베를린을 집처럼 여긴다. 그는 섬을 떠날 수 없어서, 아직 육지로 돌아갈 준비가 되지 않아서, 제주 여행 중 텃밭 있는 집을 얻어서 이사를 감행한다. 그렇게 제주에서 재택근무를 하며 이 책 〈삶은 그렇게 납작하지 않아요〉를 썼다. 마음이 끌리는 대로 어디든 가고, 무엇이든 배우며 살아가는 사람. 사랑에 기대어 제 삶의 모양을 만들어가는 그는 아주 용감한 사람이다. 이 책은 그의 납작하지 않은 삶을 편집한 한 편의 영화이다. 영화는 크게 오각형으로 뻗어나간다. 하나, 기억의 조각들이 만들어내는 쓸쓸하고도 아름다운 어린 시절. 둘, ‘오픈리 레즈비언’으로 사랑하며 사는 모양. 셋, 영화와 연대를 배웠던 독일 베를린 시절. 넷, 수없이 바뀌어온 직업의 세계. 다섯, 꿈꾸는 삶을 함께 만들어가고 있는 ‘피앙세’와의 지금. 이야기는 때로 거칠고 캄캄하지만, 그는 언제나 특유의 유머로 담백하게 담아내고, 그리하여 끝내 포근하게 우리를 감싸안는다.","['에세이', '한국에세이']"
16,삶의 발명,정혜윤 지음,위고,2023,814.6 정94ㅅ,9791190000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6469543%3Ftimestamp%3D20240109171533,“삶은 삶에 대해 이야기하는 방식이다 모든 생명체는 나름의 이야기를 가지고 있고 언젠가 우리는 모두 이야기 속으로 사라진다”,"['에세이', '한국에세이']"
17,"인구 감소, 부의 대전환",전영수 지음,21세기북스,2024,331.32 전64ㅇ,9791170000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6595592%3Ftimestamp%3D20241218153826,"인구 변화는 자산 시장을 어떻게 재편하는가! 돈 쓸 준비가 된 1,700만 고객의 핵심, 70년대생을 잡아라! 저출생 · 고령화를 연결하면 신모델이 생겨난다! 2월 28일 통계청은 2023년 4분기 합계출산율 잠정치가 0.65명이라고 발표했다. ‘전 세계 꼴찌’, ‘1호 소멸 예정 국가’ 등 자극적인 헤드라인에 익숙해져 위기감이 무뎌졌더라도, 대한민국의 산업 구조와 성장 공식을 돌아보면 인구 감소가 얼마나 큰 위기인지 알 수 있다. 서구 선진국에 비해 과하게 높은 제조업 의존성은 값싸고 근면한 노동력이 충분히 제공되었기에 유지된 구조였고, 베이비부머의 힘으로 인구보너스(총인구 대비 생산가능인구의 비율이 증가하며 경제가 성장하는 현상) 효과를 톡톡히 누린 것이 경제 성장의 비결이기 때문이다. 한 마디로, 대한민국 경제의 근간이 흔들릴 위기에 직면해 있다는 뜻이다. 이때 필요한 것이 통계의 힘이다. 해결의 실마리가 보이지 않는 막막한 문제더라도 인구 통계라는 확실한 근거가 바탕이 된다면 돌파구를 찾을 수 있다는 말이다. 이 책의 저자인 인구 통계 전문가이자 인구경제학자인 한양대학교 전영수 교수는 심지어 통계의 눈으로 보면 인구 감소는 악재가 아닌 다시 없을 호재라고 말한다. 뜬구름 잡는 트렌드 예측을 위한 허장성세가 아닌 가장 유사한 모델인 일본과 서구 선진국의 통계를 국내 사례와 비교 · 접목해 얻은 결론이다. 38개 인구 통계 그래프를 통해 근거를 제시하여 꼼꼼한 독자들도 이내 수긍하게 될 것이다. 책은 통계를 통해 분석한 축소 사회에서 가장 큰 구매력을 자랑할 핵심 고객층을 요약하여 보여준다. 인구 변화가 가져올 대전환 속에서 부의 추월차선에 올라타기 위해서는 다음 4가지 부의 키워드에 주목해보자. △집을 사지 않을 ‘저축 포기 청년’, △고학력, 고소득, 정년 연장으로 무장한 ‘70년대생’, △지속 · 확장 소비를 책임질 충성 ‘집토끼’, △노년에 돌입한 ‘베이비부머’. 총인구는 줄어들지만, 이들의 구매력은 오히려 상승하기에 이 4가지 고객을 타깃으로 한다면 오히려 성장의 기회로 삼을 수 있다. 그리고 인구 변화에 따른 거시적인 10대 미래 트렌드 예측부터 고성장 시대에는 외면받았지만 지속 가능한 발전이 예상되는 알짜 틈새시장 산업군도 콕 집어 알려준다.","['경제경영', '경제학/경제일반', '경제사/경제전망', '세계 경제사/경제전망']"
18,다중물리 3차원 해석,이승배; 이철희 공지음,Yas (야스),2024,429 이57ㄷ c.2,9791190000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6714084%3Ftimestamp%3D20240925161637,"본서는 다중물리 분야에 대한 이해와 최근 다중물리 해석기반 산업체 개발 동향 및 적용 분야로부터 시작하여, Multi-scale, Multi-physics의 다양한 지배방정식과 다중물리 해석이론 그리고 Ansys기반 해석사례들을 설명한다. 단행본으로 다중물리의 전체 영역을 다룰 수 없는 한계에도 불구하고, 최근 부각되고 있는 반도체 분야의 화학적, 재료적, 전자기적, 기계적 다중물리 3D해석과 설계에의 적용 그리고 모빌리티 전기모터 전자기적 제어 및 재료, 열 유동, 고체 진동 분야의 다중물리 3D설계와 AI 응용 분야에 기본적 지식과 실습능력을 제공할 것으로 기대한다.","['대학교재/전문서적', '공학계열', '기계공학', '기계공학 일반']"
19,과학을 보다. 2,김범준 [외] 지음; 김지원 그림,알파미디어,2024,400 김44ㄱ v.2,9791190000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6650868%3Ftimestamp%3D20241220152246,"과학은 즐겁다! 그런데 웬일인지 과학이 어렵기만 할 뿐 아니라 지루하고 따분한 분야라고 생각하는 사람들이 의외로 많다. 〈과학을 보다〉 시리즈는 이렇게 과학을 오해하는 ‘과알못’을 위한 책이다. 이 책에서는 질문을 가리지 않는다. 왜 자신이 먹은 음식 무게만큼 그대로 체중이 불어나지 않는지, 똥을 싸는 대가로 돈을 준다는 황당한 일이 정말 사실인지, 무시무시한 좀비가 실제로 현실에도 존재하는지, 우주 최강의 생명체는 누구인지 등, 점잔을 빼거나 고상한 척 무게 잡지 않고 그냥 원초적인 날 것 그대로의 궁금증을 던진다. 우리가 차마 어디에 물어보지 못하고 마음속에만 품고 있던 호기심을 국내 최고 권위의 과학자들이 성심성의껏 답변하며 충족시켜준다. 과학자들의 친절한 설명을 듣다 보면 과학이 이렇게 흥미진진하고 시간 가는 줄 모르게 재밌는 분야였다는 사실을 새삼 깨달을 수 있다. 인간에게는 식욕, 성욕, 수면욕 등 여러 가지 욕망이 있지만, 호기심 또한 참을 수 없는 본능적 욕망이기 때문이다. 특히 황당할 수도 있는 질문에 과학자들이 체계적이고 합리적인 사고를 통해 올바른 답을 찾아가는 과정을 단락마다 함께하다 보면 자신과 관련한 문제들 역시 합리적으로 분석하고 올바른 방법으로 해결하려는 자세까지 자연스럽게 갖출 수 있다. 과학을 즐기다 보면 자신의 인생까지 개선되고 성장할 수 있는 것이다.","['과학', '기초과학/교양과학']"
20,(기초부터 탄탄하게) 처음 듣는 의대 강의,안승철 지음,궁리,2018,510.1 안57ㅊ,9788960000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3937783%3Ftimestamp%3D20250227125924,"본격적인 의대 공부를 시작하기 전 꼭 필요한 워밍업! 심장과 혈관의 끊임없는 생명력이 느껴지는 순환계 산소와 이산화탄소가 교차하는 곳, 호흡계 우리 몸의 노폐물 처리장을 점검하는 비뇨기계 섭취한 음식물을 에너지로 바꿔주는 소화기계 세포의 활동과 성장을 조절하는 내분비계 정보를 처리하고 전달하는 통로, 신경계 저자인 안승철 교수는 뇌 발달 분야 스테디셀러인 『우리 아이 머리에선 무슨 일이 일어나고 있을까?』를 번역하고, 딸과 함께 수학 공부를 하며 『아이들은 왜 수학을 어려워할까?』 『우리 아이 수학박사 프로젝트』 를 집필해 독자들의 많은 사랑을 받아왔다. 이번에 펴낸 『기초부터 탄탄하게, 처음 듣는 의대강의』는 전공 분야인 의학의 기초를 소개하는 책이다. 안 교수는 최근 몇 년 동안 단국대에서 의대생이 아닌 일반 대학생들을 대상으로 생리학을 강의하고 있다. 그들과 수업을 진행하고 이야기를 나누면서, 의학에 대한 갈증이 조금씩 있다는 걸 알게 되었다. 교수 혹은 의사로서 당연하게 알고 있는 사실들, 전문가들에게는 더 새로울 것도 없는 지식들이 일반인들에게는 새로운 의미로 다가가는 것을 보면서 이런 수요를 충족시킬 수 있으면 좋겠다고 생각한 것이 이 책을 집필하게 된 계기이다. 또한 『처음 듣는 의대강의』는 중고등학생들이 의대 진로를 고민할 때 의학이 과연 무엇인지 맛보기로 보기에 꽤 적당한 책이다. 어떻게 보면 괜찮은 의대 진로지도서라고도 할 수 있다. 저자가 바라본 의대생들은 대부분 범생이들이다. 수업 태도도 좋고 중고 시절 공부만 죽어라 하고 부모 말에 순종적이었던 태도가 대학까지 이어진다고 본다. 하지만 어디나 마찬가지로 모든 학생들이 다 그렇지는 않다. 의대 수업시간에도 크게 두 부류로 나뉘는 걸 쉽게 볼 수 있다. 맨 앞 혹은 자신만의 지정석에 앉아 집중하는 학생들과 늘 뒤에 앉아 있거나 잠까지 자는 친구들. 의대는 공부 양이 엄청난데 그걸 따라오지 못하고 점점 처지는 경우들이 생겨난다. 동기(motivation)의 부족, 또는 자신만의 특수한 상황(가족이나 경제 문제), 그렇지 않으면 잘못된 공부 방법으로 인한 성적 하락과 자신감 상실 등이 그 원인이다. 그 문제를 해결하지 못하는 경우 본과 4년 내내 성적이 하위권에 머물다가 때론 의사 국가고시에서 떨어져 면허 취득에도 어려움을 겪는 경우도 흔하다. “의학은 절대 내 취향이 아냐!”라고 외치는 경우만 아니라면 사실 의대 수업이 정말 극복 못할 만큼 어려운 건 절대 아니다. 모든 이름을 다 외워야 하는 해부학도 예외가 아니다. 학문적 매력도 충분하다. 겉으로 보면 무척 어렵고 낯선 용어를 끝없이 외워야 하는, 지극히 무료한 학문 같지만 조금만 들여다보면 끝없는 방황 속에서 찾아낸 재미있는 과학적 사실들로 가득 차 있음을 알게 된다.","['과학', '의학']"
21,의대를 꿈꾸는 대한민국의 천재들,이종훈 지음,한언,2020,510.4 이75ㅇ3,9788960000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5479890%3Ftimestamp%3D20230107145230,"이 책은 《의대를 꿈꾸는 대한민국의 천재들》의 확대 개정판이다. 인턴, 레지던트, 봉직의를 거쳐 현재 안과 개업의이자 가톨릭 의과대학 외래 교수로 활동하고 있는 이종훈 박사는 미래의 의사들을 위해 자신의 노하우와 최신 정보를 가득 담아 책으로 출간하였다. 첫 출간 후 15년이 지난 지금, 저자는 그동안 의료계에서 있었던 변화와 혁신, 새로운 노하우와 정보를 반영하여 이 확대 개정판을 출간했다. 이종훈 박사는 ‘의대에 가기 전에 꼭 알아야 할 것들’, ‘똑똑한 의대생활법’, ‘지치지 않고 수련생활 하는 비법’, ‘전문의 이후의 삶’과 ‘국내 의료계에 대한 예측’, ‘의사생활의 진정한 가치’, ‘100년 만의 팬데믹과 인수공통전염병’까지 조목조목 말하고 있다. 이 책이 처음 나왔을 때부터 주목을 받았던 ‘의학전문대학원과 미국의사고시’에 대한 정보도 최근 추세를 반영해 더욱 유용해졌다. 또한 사스와 메르스, 코로나 19로 촉발된 100년 만의 팬데믹과 인수공통감염병의 현황에 대한 논의를 싣고 있다. 그리고 한국 의료계의 현실과 의료계 파업, 의료 개방에 대한 고민도 나누고 있으며, 임상의사 외의 여러 진로에 대해서도 실제 현장의 다양한 분야를 소개하고 있다. 또한 ‘의사의 길을 정말 갈 것인가?’를 고민하는 젊은이들을 위해 이 땅에서 활약한 훌륭한 의사들을 소개했다. 알렌 박사, 홀 박사, 백인제 박사, 성산 장기려 박사, 이종욱 박사, 이호왕 박사 외에도 최초의 서양의사인 서재필, 최초의 서양 여의사인 박 에스더, 세브란스 1회 졸업생 등의 이야기는, 평생 직업으로서 의사가 되려는 젊은이들은 물론, 현재 인턴이나 레지던트로 활동하는 청년 의사들에게도 많은 교훈과 가르침을 줄 것이다. 그렇다고 이 책이 결코 재미없거나 딱딱하지도 않다. 곳곳에 ‘의대 커플 이야기, 연애, 해부학 실습, 시험’ 등과 관련된 생생한 에피소드를 담아서 누구나 재미있게 읽을 수 있다. 의사를 희망하는 중고등학생들과 학부모들의 필독서이자, 현 의대생, 평소 의사생활을 궁금해했던 일반인 모두 읽을 만하다.","['청소년', '청소년의 진로선택']"
22,생명의 물리학,찰스 S. 코켈 지음; 노승영 옮김,열린책들,2021,476 코874ㅅ노,9788930000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5745583%3Ftimestamp%3D20250408150551,"무당벌레는 왜 바퀴가 아니라 다리가 달렸을까? 생물마다 세포의 크기는 왜 비슷할까? 모든 생명은 왜 규소가 아니라 탄소를 기반으로 할까? 생명은 오직 〈우연〉에 의해 진화하지 않았다. 진화에 우연이 작용한 것은 분명하지만, 그것이 전부는 아니다. 『생명의 물리학』은 다채로운 생명의 이면에 놀랍도록 단순한 원리가 숨어 있음을 보여 준다. 생물은 우주를 구성하는 물질로 이루어져 있으며, 물리 법칙의 지배 아래 탄생하고 번성한다. 이 책은 물리 법칙이 생명 현상에 속속들이 관여하고 있다는 사실을 드러냄으로써 우주 보편적인 맥락에서 생명을 설명하고 예측하기 위한 탄탄한 기초를 마련한다. 우주생물학자 찰스 S. 코켈은 〈물리 법칙은 진화의 길을 안내하고 진화의 길은 다채롭게 뻗어나간다〉는 관점으로 물리학과 진화생물학의 연결 고리를 찾는다. 그는 물리 법칙과 진화를 연결함으로써 〈생명이란 우주에서 증식하고 진화하는 물질 중 한 가지에 불과하다〉는 진실을 보여 준다. 코페르니쿠스의 지동설이 지구가 우주의 중심이라는 인식을 깨고, 다윈의 진화론은 인간이 다른 동물과 다르게 특별하다는 인식을 깬 것처럼, 생명을 물리학의 관점에서 설명하려는 시도는 어쩌면 나중에 〈우주에서 생명은 지구에서 유일하다〉는 인식을 깨는 출발점이 될지 모른다.","['과학', '생명과학', '생물학']"
23,다중물리 3차원 해석,이승배; 이철희 공지음,Yas (야스),2024,429 이57ㄷ,9791190000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6714084%3Ftimestamp%3D20240925161637,"본서는 다중물리 분야에 대한 이해와 최근 다중물리 해석기반 산업체 개발 동향 및 적용 분야로부터 시작하여, Multi-scale, Multi-physics의 다양한 지배방정식과 다중물리 해석이론 그리고 Ansys기반 해석사례들을 설명한다. 단행본으로 다중물리의 전체 영역을 다룰 수 없는 한계에도 불구하고, 최근 부각되고 있는 반도체 분야의 화학적, 재료적, 전자기적, 기계적 다중물리 3D해석과 설계에의 적용 그리고 모빌리티 전기모터 전자기적 제어 및 재료, 열 유동, 고체 진동 분야의 다중물리 3D설계와 AI 응용 분야에 기본적 지식과 실습능력을 제공할 것으로 기대한다.","['대학교재/전문서적', '공학계열', '기계공학', '기계공학 일반']"
24,수학은 어떻게 문명을 만들었는가,마이클 브룩스 지음; 고유경 옮김,Bronstein,2022,410.9 브296ㅅ고,9791140000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6167936%3Ftimestamp%3D20250104170222,"눈을 감고 수를 세어 보자. 1, 2, 3…. 당신은 어렵지 않게 숫자를 셀 수 있을 것이다. 그러나 숫자란 개념을 알고 수를 센다는 것은 사실 인간의 타고난 본성이 아니다. 훈련을 거치지 않은 뇌는 수학을 이해하지 못한다. 그래서 숫자를 배우지 못한 사람에게는 숫자 3이 넘어가면 그저 ‘더 많음’일 뿐이다. 우리의 먼 조상이 수학을 배우고 체계화하여 이용하기 시작하자 인류는 놀라운 수학의 힘을 발견하고 이를 활용하여 오늘날 눈부신 문명을 이루고 인생을 풍요롭게 가꾸며 번영할 수 있었다. 그렇지만 일상에서 수학의 쓸모를 느끼지 못하고 왜 배우려고 애쓰는 것인지 의문이 들 수도 있다. 학창 시절에 수학 공식을 외우거나 문제를 푸는 방법은 배웠어도 수학이 우리가 사는 문명 세상을 만들었다는 사실을, 또 수학이 인간의 역사에서 중요한 역할을 맡았다는 흥미로운 이야기를 들어본 적 없기 때문이 아닐까. 복잡한 과학적 개념을 대중에게 쉽게 풀어 설명하기로 유명한 과학 전문 작가 마이클 브룩스는 문명의 역사를 아우르는 매력적인 여정을 통해 우리가 세상을 이해하는데 수학이 우리에게 필요한 이유를 역사를 통해 설명한다. 고대 세금 징수원들은 기본 숫자를 이용해 초기 문명의 성장을 촉진하고, 항해사들은 영리하게 기하학적 재주를 발휘해 무역 활동을 하며 머나먼 거리에 있는 사람들과 교류하고, 천문학자들은 로그를 발명해 하늘의 비밀을 풀고 그들의 후손들은 달에 착륙했다. 미적분은 제2차 세계 대전에서 연합국을 승리로 이끌었을 뿐만 아니라 HIV 전염병도 막았다. 그리고 허수는 알고 보니 우리가 누비며 사는 현대 세상에서 필수적인 요소였다. 이처럼 마이클 브룩스는 모든 면에서 수학이 인류의 진보에 있어 매우 과소 평가된 원동력이라는 사실이 증명한다. 마이클 브룩스는 매우 흥미진진한 인류의 역사 속에서 안내자를 자청하며 시대를 넘나든다. 그리고 수학이 인류를 유목민에서 문명인으로 끌어올린 근본적인 혁신 중 하나였고, 그 이후로는 인류의 모든 위대한 도약에 중요한 역할을 해왔다고 주장한다. 이 책에는 고대 이집트 사제들, 바빌로니아 관료들, 중세 건축가들, 결투를 벌이는 스위스 형제들, 르네상스 화가들, 그리고 온라인 세상의 인프라를 발명한 괴짜 교수들이 등장한다. 그들의 이야기는 수학의 발명이 불의 발견만큼이나 인류에게 중요하다는 것을 똑똑히 보여준다. 처음부터 끝까지 이 책은 인간은우리 인간이 어떻게 이 세상을 만들었는지와 그 의미의 본질을 수학으로 되짚는다. 이 책을 읽으면 마이클 브룩스와 그가 소개하는 비범하고 별난 역사 속 인물들과 함께 수학이 어떻게 우리 주변의 세상을 창조했는지 알 수 있을 것이다.","['과학', '수학', '수학 일반']"
25,화이트홀,카를로 로벨리 지음; 김정훈 옮김,쌤앤파커스,2024,443.887 로44ㅎ김,9791170000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6706878%3Ftimestamp%3D20240907154849,"세계적인 물리학자이자 ‘제2의 스티븐 호킹’이라 평가받는 카를로 로벨리 최신작. 카를로 로벨리는 최신 연구를 바탕으로 ‘화이트홀’이라는 미지의 세계, 지속적인 불확실성에 대한 실체를 추적한다. 현실의 맨 가장자리, 인간의 방정식이 작동하지 않는 그곳에선 어떤 일이 벌어질까? 그는 먼저 블랙홀이 어떻게 만들어졌는지부터 설명한다. 시간이 느려지고 멈추는 세상의 끝, 현실의 가장자리에서 일어나는 일들을 낱낱이 보여준다. 그리고 그 안쪽으로 들어가 가장 깊숙한 곳, 시간과 공간이 녹아내리다 못해 거꾸로 튀어 오르는 것처럼 보이는 곳까지 우리를 데려간다. 바로 그곳에서 화이트홀이 탄생한다. 2014년, 물리학 서적으로 유례없는 기록을 세운 카를로 로벨리의 책 ≪모든 순간의 물리학≫은 전 세계적으로 번역되어 200만 부 이상 판매되었다. 이후 10년간 카를로 로벨리는 과학과 철학, 예술을 넘나들며 시간과 양자 이론에 관한 스토리텔러로서, 물리학을 대중화하는 데 가장 위대한 일을 해냈다. 그가 써내려간 물리학은 우리가 이 세상을 이해하는 새로운 관점과 우주에서 우리의 위치를 이해할 수 있는 명쾌한 방법을 제시해왔다. 2024년, 그는 또 한 번 우리를 숨 막히게 아름다운 여정으로 인도한다. “지금까지 이보다 더 훌륭한 블랙홀 가이드는 없었다!”라는 세계 언론의 극찬 속에, 인간의 직관이 닿지 않는 영역의 아이디어를 다룬 이 흥미로운 책 속으로 함께 빠져보자.","['과학', '물리학', '물리학 일반']"
